source_id,event_id,event_date,event_start_time,event_end_time,event_lat,event_lon,max_frp,observation_count,satellites
SRC_UNKNOWN_010,EVT_20260430_0027,2026-04-30,2014,2014,8.66993,77.99168,0.52,1,N21
SRC_UNKNOWN_011,EVT_20260608_0046,2026-06-08,801,801,8.77915,77.96409,0.76,1,N20
SRC_UNKNOWN_011,EVT_20260620_0055,2026-06-20,733,822,8.77606,77.959073,10.14,3,"N20,N21"
SRC_UNKNOWN_011,EVT_20260629_0071,2026-06-29,805,805,8.77312,77.9638,1.79,1,N20
SRC_UNKNOWN_012,EVT_20260625_0059,2026-06-25,741,828,8.57256,78.11075,6.25,2,"N20,N21"
SRC_UNKNOWN_012,EVT_20260630_0078,2026-06-30,835,835,8.56587,78.12151,4.09,1,N21
SRC_UNKNOWN_012,EVT_20260724_0123,2026-07-24,744,744,8.57624,78.11585,3.46,1,N21
SRC_UNKNOWN_013,EVT_20260625_0062,2026-06-25,828,828,8.85358,77.948545,5.69,2,N21
SRC_UNKNOWN_013,EVT_20260709_0099,2026-07-09,820,820,8.85846,77.94576,9.78,1,N20
SRC_UNKNOWN_013,EVT_20260725_0136,2026-07-25,726,726,8.846798,77.957348,14.62,5,N21
SRC_UNKNOWN_014,EVT_20260705_0086,2026-07-05,754,839,8.674925,78.042795,6.54,4,"N20,N21"
SRC_UNKNOWN_014,EVT_20260712_0105,2026-07-12,809,809,8.66283,78.03506,13.62,1,N21
SRC_UNKNOWN_014,EVT_20260727_0143,2026-07-27,741,741,8.67911,78.048315,11.53,2,N20
SRC_UNKNOWN_015,EVT_20260707_0093,2026-07-07,803,803,8.69401,78.05341,5.31,1,N21
SRC_UNKNOWN_015,EVT_20260711_0101,2026-07-11,741,741,8.69392,78.05166,3.97,1,N20
SRC_UNKNOWN_015,EVT_20260714_0109,2026-07-14,2008,2008,8.70241,78.05972,1.21,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260302_0001,2026-03-02,745,745,8.88946,78.07883,3.6,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260310_0005,2026-03-10,837,837,8.88966,78.0834,10.2,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260322_0007,2026-03-22,809,809,8.77028,77.910345,4.7,2,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260329_0010,2026-03-29,737,737,8.777609,77.918854,5.0,8,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260326_0008,2026-03-26,837,837,8.87448,78.11445,1.82,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260414_0018,2026-04-14,2014,2014,8.86806,78.12099,0.86,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260418_0020,2026-04-18,2040,2040,8.807735,78.069995,6.12,2,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260419_0021,2026-04-19,744,744,8.80611,78.06895,1.98,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260529_0035,2026-05-29,835,835,8.75027,78.0775,5.25,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260601_0037,2026-06-01,830,830,8.74789,78.078,6.06,1,N20
UNMATCHED_TRANSIENT_EVENT,EVT_20260605_0043,2026-06-05,803,803,8.87605,78.00178,1.96,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260629_0072,2026-06-29,805,805,8.88808,77.98834,1.14,1,N20
UNMATCHED_TRANSIENT_EVENT,EVT_20260615_0051,2026-06-15,816,816,8.880375,78.11752,6.64,2,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260619_0054,2026-06-19,754,754,8.882395,78.12329,5.15,2,N20
UNMATCHED_TRANSIENT_EVENT,EVT_20260628_0067,2026-06-28,731,731,8.82998,77.9785,1.58,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260724_0131,2026-07-24,839,839,8.81455,77.97631,7.79,1,N20
UNMATCHED_TRANSIENT_EVENT,EVT_20260718_0113,2026-07-18,756,852,8.851477,78.019773,8.37,3,"N20,N21"
UNMATCHED_TRANSIENT_EVENT,EVT_20260809_0167,2026-08-09,744,744,8.84041,78.0078,5.35,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260722_0117,2026-07-22,2012,2012,8.61174,78.1255,1.71,1,N20
UNMATCHED_TRANSIENT_EVENT,EVT_20260723_0121,2026-07-23,1953,2040,8.597505,78.13128,3.6,2,"N20,N21"
UNMATCHED_TRANSIENT_EVENT,EVT_20260726_0141,2026-07-26,848,848,8.64032,77.90717,3.33,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260819_0183,2026-08-19,852,852,8.64099,77.902477,6.62,3,N20
UNMATCHED_TRANSIENT_EVENT,EVT_20260727_0145,2026-07-27,828,828,8.72816,78.08289,1.76,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260820_0184,2026-08-20,835,835,8.73457,78.0784,1.92,1,N20
UNMATCHED_TRANSIENT_EVENT,EVT_20260728_0147,2026-07-28,809,809,8.89275,78.04395,6.34,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260809_0169,2026-08-09,744,744,8.898385,78.04115,9.0,2,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260729_0152,2026-07-29,845,845,8.78999,78.09714,2.05,1,N20
UNMATCHED_TRANSIENT_EVENT,EVT_20260828_0189,2026-08-28,744,744,8.78832,78.11234,2.63,1,N20
UNMATCHED_TRANSIENT_EVENT,EVT_20260828_0191,2026-08-28,828,828,8.861145,77.992535,3.92,2,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260829_0196,2026-08-29,809,809,8.8745,77.98587,5.31,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260303_0002,2026-03-03,726,726,8.52041,77.95682,4.78,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260305_0003,2026-03-05,828,828,8.86701,78.15883,3.18,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260307_0004,2026-03-07,752,752,8.843925,78.028965,4.84,2,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260321_0006,2026-03-21,828,828,8.83324,77.90954,9.7,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260411_0013,2026-04-11,835,835,8.715185,77.972548,14.08,4,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260411_0014,2026-04-11,835,835,8.755979,77.920926,8.19,9,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260412_0015,2026-04-12,816,816,8.82935,78.12801,2.99,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260418_0019,2026-04-18,803,803,8.81549,77.94476,6.17,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260419_0022,2026-04-19,744,744,8.8828,78.00963,9.83,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260427_0026,2026-04-27,835,835,8.769065,78.04026,6.11,2,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260505_0029,2026-05-05,744,744,8.78858,77.93148,2.52,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260521_0033,2026-05-21,744,744,8.86928,77.96659,6.75,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260530_0036,2026-05-30,2051,2051,8.85935,78.16643,1.43,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260601_0038,2026-06-01,833,833,8.80227,77.90195,10.95,1,N20
UNMATCHED_TRANSIENT_EVENT,EVT_20260602_0040,2026-06-02,811,811,8.73695,78.05997,1.58,1,N20
UNMATCHED_TRANSIENT_EVENT,EVT_20260606_0044,2026-06-06,837,837,8.60727,78.0759,5.25,1,N20
UNMATCHED_TRANSIENT_EVENT,EVT_20260617_0052,2026-06-17,2014,2014,8.62939,78.07955,0.83,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260620_0057,2026-06-20,822,822,8.65484,77.92022,2.27,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260625_0060,2026-06-25,741,828,8.709607,77.95361,6.73,3,"N20,N21"
UNMATCHED_TRANSIENT_EVENT,EVT_20260627_0066,2026-06-27,2025,2025,8.82218,78.054435,1.94,2,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260627_0064,2026-06-27,843,843,8.850275,77.975755,8.72,2,N20
UNMATCHED_TRANSIENT_EVENT,EVT_20260628_0068,2026-06-28,731,731,8.85756,78.03976,8.42,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260629_0073,2026-06-29,854,854,8.79237,78.02587,1.81,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260630_0079,2026-06-30,835,835,8.70381,78.10857,3.42,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260630_0076,2026-06-30,748,748,8.79416,78.05643,2.9,1,N20
UNMATCHED_TRANSIENT_EVENT,EVT_20260701_0080,2026-07-01,731,731,8.745172,78.16344,18.01,4,N20
UNMATCHED_TRANSIENT_EVENT,EVT_20260705_0083,2026-07-05,754,839,8.515798,78.06301,5.87,4,"N20,N21"
UNMATCHED_TRANSIENT_EVENT,EVT_20260705_0084,2026-07-05,754,754,8.54408,78.12749,6.02,1,N20
UNMATCHED_TRANSIENT_EVENT,EVT_20260705_0087,2026-07-05,754,754,8.74794,77.99934,3.94,1,N20
UNMATCHED_TRANSIENT_EVENT,EVT_20260709_0098,2026-07-09,820,820,8.84491,77.99417,8.02,1,N20
UNMATCHED_TRANSIENT_EVENT,EVT_20260712_0107,2026-07-12,809,809,8.74524,78.12827,2.13,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260712_0104,2026-07-12,724,724,8.89624,78.07236,3.08,1,N20
UNMATCHED_TRANSIENT_EVENT,EVT_20260717_0111,2026-07-17,816,816,8.60856,78.09164,3.86,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260718_0112,2026-07-18,756,756,8.75063,78.10085,7.32,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260719_0114,2026-07-19,737,833,8.742296,77.95846,12.1,7,"N20,N21"
UNMATCHED_TRANSIENT_EVENT,EVT_20260724_0124,2026-07-24,744,837,8.610845,78.0196,5.98,2,"N20,N21"
UNMATCHED_TRANSIENT_EVENT,EVT_20260724_0127,2026-07-24,744,837,8.672645,78.09678,2.89,2,"N20,N21"
UNMATCHED_TRANSIENT_EVENT,EVT_20260724_0128,2026-07-24,744,744,8.80012,78.12872,5.78,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260725_0137,2026-07-25,820,820,8.76865,78.05247,2.81,1,N20
UNMATCHED_TRANSIENT_EVENT,EVT_20260725_0138,2026-07-25,2002,2002,8.77572,78.07705,0.25,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260726_0140,2026-07-26,845,845,8.60473,78.06739,4.14,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260729_0148,2026-07-29,750,750,8.879297,78.085383,8.12,3,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260729_0149,2026-07-29,750,750,8.88462,78.148475,8.35,2,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260801_0160,2026-08-01,1930,2025,8.825912,78.087152,8.97,6,"N20,N21"
UNMATCHED_TRANSIENT_EVENT,EVT_20260807_0165,2026-08-07,822,822,8.57461,78.00533,6.19,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260807_0163,2026-08-07,735,735,8.57914,77.95925,2.48,1,N20
UNMATCHED_TRANSIENT_EVENT,EVT_20260807_0164,2026-08-07,735,735,8.58266,77.97887,6.73,1,N20
UNMATCHED_TRANSIENT_EVENT,EVT_20260809_0168,2026-08-09,744,744,8.84773,77.97353,3.57,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260812_0171,2026-08-12,828,828,8.58918,77.91875,48.72,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260813_0173,2026-08-13,809,809,8.53019,78.08766,4.93,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260815_0174,2026-08-15,828,828,8.71118,78.09945,2.86,1,N20
UNMATCHED_TRANSIENT_EVENT,EVT_20260818_0178,2026-08-18,816,816,8.74016,78.05225,8.91,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260818_0179,2026-08-18,816,816,8.79578,77.95259,2.07,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260821_0185,2026-08-21,813,813,8.6787,78.06282,2.79,1,N20
UNMATCHED_TRANSIENT_EVENT,EVT_20260828_0187,2026-08-28,744,828,8.712812,77.974342,7.52,4,"N20,N21"
UNMATCHED_TRANSIENT_EVENT,EVT_20260828_0190,2026-08-28,744,744,8.84528,78.0387,3.18,1,N20
UNMATCHED_TRANSIENT_EVENT,EVT_20260829_0194,2026-08-29,809,809,8.60741,77.97129,5.38,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260829_0198,2026-08-29,2046,2046,8.67362,78.03297,1.52,1,N21
UNMATCHED_TRANSIENT_EVENT,EVT_20260829_0195,2026-08-29,809,809,8.75016,78.08366,6.22,1,N21
