event_id,region_id,event_date,event_start_time,event_end_time,latitude,longitude,max_frp,mean_frp,total_frp,observation_count,satellite_count,satellites,event_cluster_confidence,event_cluster_method
EVT_20260602_0041,thoothukudi,2026-06-02,0811,0811,8.75108,78.08628,1.92,1.92,1.92,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260605_0042,thoothukudi,2026-06-05,0803,0803,8.74904,78.07733,3.4,3.4,3.4,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260605_0043,thoothukudi,2026-06-05,0803,0803,8.87605,78.00178,1.96,1.96,1.96,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260606_0044,thoothukudi,2026-06-06,0837,0837,8.60727,78.0759,5.25,5.25,5.25,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260606_0045,thoothukudi,2026-06-06,0837,0837,8.863175,78.131085,3.81,3.7,7.41,2,1,N20,MEDIUM,spatial_temporal_bfs
EVT_20260608_0046,thoothukudi,2026-06-08,0801,0801,8.77915,77.96409,0.76,0.76,0.76,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260609_0047,thoothukudi,2026-06-09,0828,0828,8.85569,78.130365,3.49,2.86,5.72,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260613_0048,thoothukudi,2026-06-13,2042,2042,8.86795,78.12238,0.65,0.65,0.65,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260614_0049,thoothukudi,2026-06-14,2023,2023,8.77269,78.19781,6.35,6.35,6.35,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260615_0050,thoothukudi,2026-06-15,0816,0816,8.67767,78.07226,1.7,1.7,1.7,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260615_0051,thoothukudi,2026-06-15,0816,0816,8.880375,78.11752,6.64,6.14,12.28,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260617_0052,thoothukudi,2026-06-17,2014,2014,8.62939,78.07955,0.83,0.83,0.83,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260618_0053,thoothukudi,2026-06-18,1955,1955,8.66783,77.99359,1.68,1.68,1.68,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260619_0054,thoothukudi,2026-06-19,0754,0754,8.882395,78.12329,5.15,4.12,8.24,2,1,N20,MEDIUM,spatial_temporal_bfs
EVT_20260620_0055,thoothukudi,2026-06-20,0733,0822,8.77606,77.959073,10.14,5.03,15.09,3,2,"N20,N21",HIGH,spatial_temporal_bfs
EVT_20260620_0056,thoothukudi,2026-06-20,0822,0822,8.60638,77.97795,3.43,3.43,3.43,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260620_0057,thoothukudi,2026-06-20,0822,0822,8.65484,77.92022,2.27,2.27,2.27,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260624_0058,thoothukudi,2026-06-24,0845,0845,8.667145,78.080815,6.12,6.12,12.24,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260625_0059,thoothukudi,2026-06-25,0741,0828,8.57256,78.11075,6.25,6.1,12.2,2,2,"N20,N21",HIGH,spatial_temporal_bfs
EVT_20260625_0060,thoothukudi,2026-06-25,0741,0828,8.709607,77.95361,6.73,5.12,15.35,3,2,"N20,N21",HIGH,spatial_temporal_bfs
EVT_20260625_0061,thoothukudi,2026-06-25,0828,0828,8.75734,78.18155,5.07,5.07,5.07,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260625_0062,thoothukudi,2026-06-25,0828,0828,8.85358,77.948545,5.69,5.07,10.13,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260625_0063,thoothukudi,2026-06-25,0828,0828,8.88243,78.14104,4.36,4.36,8.72,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260627_0064,thoothukudi,2026-06-27,0843,0843,8.850275,77.975755,8.72,7.34,14.68,2,1,N20,MEDIUM,spatial_temporal_bfs
EVT_20260627_0065,thoothukudi,2026-06-27,2025,2025,8.66945,77.99419,1.21,1.21,1.21,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260627_0066,thoothukudi,2026-06-27,2025,2025,8.82218,78.054435,1.94,1.94,3.88,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260628_0067,thoothukudi,2026-06-28,0731,0731,8.82998,77.9785,1.58,1.58,1.58,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260628_0068,thoothukudi,2026-06-28,0731,0731,8.85756,78.03976,8.42,8.42,8.42,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260628_0069,thoothukudi,2026-06-28,2008,2008,8.67023,77.99241,1.05,1.05,1.05,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260629_0070,thoothukudi,2026-06-29,0805,0805,8.75938,78.18442,5.54,5.54,5.54,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260629_0071,thoothukudi,2026-06-29,0805,0805,8.77312,77.9638,1.79,1.79,1.79,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260629_0072,thoothukudi,2026-06-29,0805,0805,8.88808,77.98834,1.14,1.14,1.14,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260629_0073,thoothukudi,2026-06-29,0854,0854,8.79237,78.02587,1.81,1.81,1.81,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260629_0074,thoothukudi,2026-06-29,0854,0854,8.81134,78.079335,6.49,6.49,12.98,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260629_0075,thoothukudi,2026-06-29,2042,2042,8.67153,77.99429,1.25,1.25,1.25,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260630_0076,thoothukudi,2026-06-30,0748,0748,8.79416,78.05643,2.9,2.9,2.9,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260630_0077,thoothukudi,2026-06-30,0748,0748,8.86758,78.15696,4.29,3.12,6.25,2,1,N20,MEDIUM,spatial_temporal_bfs
