event_id,region_id,original_observation_id,latitude,longitude,acq_date,acq_time,satellite,frp,confidence,instrument,daynight
EVT_20260505_0029,thoothukudi,OBS_00051,8.78858,77.93148,2026-05-05,744,N21,2.52,n,VIIRS,D
EVT_20260505_0030,thoothukudi,OBS_00052,8.88589,78.04684,2026-05-05,744,N21,8.57,n,VIIRS,D
EVT_20260519_0031,thoothukudi,OBS_00053,8.74381,78.1442,2026-05-19,822,N21,7.45,n,VIIRS,D
EVT_20260521_0032,thoothukudi,OBS_00054,8.76474,78.09692,2026-05-21,744,N21,7.66,n,VIIRS,D
EVT_20260521_0033,thoothukudi,OBS_00055,8.86928,77.96659,2026-05-21,744,N21,6.75,n,VIIRS,D
EVT_20260526_0034,thoothukudi,OBS_00056,8.75298,78.09061,2026-05-26,750,N21,3.25,n,VIIRS,D
EVT_20260526_0034,thoothukudi,OBS_00057,8.75684,78.08998,2026-05-26,750,N21,3.25,n,VIIRS,D
EVT_20260529_0035,thoothukudi,OBS_00058,8.75027,78.0775,2026-05-29,835,N21,5.25,n,VIIRS,D
EVT_20260530_0036,thoothukudi,OBS_00059,8.85935,78.16643,2026-05-30,2051,N21,1.43,n,VIIRS,N
EVT_20260601_0037,thoothukudi,OBS_00188,8.74789,78.078,2026-06-01,830,N20,6.06,n,VIIRS,D
EVT_20260601_0038,thoothukudi,OBS_00189,8.80227,77.90195,2026-06-01,833,N20,10.95,n,VIIRS,D
EVT_20260602_0039,thoothukudi,OBS_00190,8.67747,78.06907,2026-06-02,811,N20,2.21,n,VIIRS,D
EVT_20260602_0040,thoothukudi,OBS_00191,8.73695,78.05997,2026-06-02,811,N20,1.58,n,VIIRS,D
EVT_20260602_0041,thoothukudi,OBS_00192,8.75108,78.08628,2026-06-02,811,N20,1.92,l,VIIRS,D
EVT_20260605_0042,thoothukudi,OBS_00060,8.74904,78.07733,2026-06-05,803,N21,3.4,n,VIIRS,D
EVT_20260605_0043,thoothukudi,OBS_00061,8.87605,78.00178,2026-06-05,803,N21,1.96,n,VIIRS,D
