event_id,event_date,event_start_time,event_end_time,observation_count,satellite_count,satellites,max_frp,total_frp,mean_frp,latitude,longitude,worldcover_class,worldcover_context,association_type,association_confidence,osm_type,osm_id,name,industrial,landuse,power,man_made,distance_km,source_class,source_class_v2,classification_confidence_v2,evidence_strength,classification_reason,evidence_summary,interpretation
EVT_20260413_0017,2026-04-13,758,758,1,1,N21,13.0,13.0,13.0,8.88627,78.06699,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,986411990.0,Arasadi,,industrial,plant,,0.324,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,MEDIUM,MEDIUM,OSM industrial association; WorldCover context=UNKNOWN,Thermal point is 0.324 km from mapped industrial feature: Arasadi; WorldCover=UNKNOWN,Thermal observation spatially associated with industrial infrastructure
EVT_20260414_0018,2026-04-14,2014,2014,1,1,N21,0.86,0.86,0.86,8.86806,78.12099,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,385432381.0,Thoothukudi IBPGL,,,plant,,1.444,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260418_0019,2026-04-18,803,803,1,1,N21,6.17,6.17,6.17,8.81549,77.94476,UNKNOWN,UNKNOWN,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,,UNKNOWN,UNKNOWN,LOW,LOW,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260418_0020,2026-04-18,2040,2040,2,1,N21,6.12,12.24,6.12,8.807735,78.069995,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,661590305.0,,,industrial,,,1.165,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260419_0021,2026-04-19,744,744,1,1,N21,1.98,1.98,1.98,8.80611,78.06895,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,1073989741.0,,,industrial,,,1.276,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260419_0022,2026-04-19,744,744,1,1,N21,9.83,9.83,9.83,8.8828,78.00963,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,1516453098.0,,,industrial,,,1.68,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260419_0023,2026-04-19,2019,2019,1,1,N21,0.56,0.56,0.56,8.66883,77.99357,UNKNOWN,UNKNOWN,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,,UNKNOWN,UNKNOWN,LOW,LOW,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260421_0024,2026-04-21,848,848,2,1,N21,4.27,8.48,4.24,8.861195,77.938125,UNKNOWN,UNKNOWN,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,,UNKNOWN,UNKNOWN,LOW,LOW,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260425_0025,2026-04-25,731,731,1,1,N21,1.41,1.41,1.41,8.88742,78.10432,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906837209.0,,,industrial,,,0.732,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,MEDIUM,MEDIUM,OSM industrial association; WorldCover context=UNKNOWN,Thermal point is near mapped industrial feature; WorldCover=UNKNOWN,Thermal observation spatially associated with industrial infrastructure
EVT_20260427_0026,2026-04-27,835,835,2,1,N21,6.11,12.22,6.11,8.769065,78.04026,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,823674462.0,,,industrial,,,3.355,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260430_0027,2026-04-30,2014,2014,1,1,N21,0.52,0.52,0.52,8.66993,77.99168,UNKNOWN,UNKNOWN,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,,UNKNOWN,UNKNOWN,LOW,LOW,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260502_0028,2026-05-02,841,841,1,1,N21,3.87,3.87,3.87,8.72846,78.10567,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906831352.0,,,industrial,,,0.401,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,MEDIUM,MEDIUM,OSM industrial association; WorldCover context=UNKNOWN,Thermal point is near mapped industrial feature; WorldCover=UNKNOWN,Thermal observation spatially associated with industrial infrastructure
