facility_name,first_observation,last_observation,observation_window_days,active_days,activity_frequency,frp_mean_mw,frp_median_mw,frp_std_mw,frp_p75_mw,frp_p90_mw,frp_p95_mw,frp_min_mw,frp_max_mw,detection_mean,detection_median,detection_p75,detection_p90,detection_p95,detection_max,median_gap_days,mean_gap_days,max_gap_days,mean_daily_detections,mean_daily_total_frp_mw
Arasadi,2026-03-02,2026-07-29,150,5,0.03333333333333333,7.599999999999999,8.12,4.260891925407167,10.2,11.879999999999999,12.44,3.08,13.0,1.0,1.0,1.0,1.0,1.0,1,25.5,37.25,90.0,1.0,7.599999999999999
DCW,2026-06-06,2026-08-28,84,11,0.13095238095238096,4.735454545454545,4.14,1.9344371979279331,5.34,6.25,7.745,1.71,9.24,1.0909090909090908,1.0,1.0,1.0,1.5,2,5.0,8.3,30.0,1.0909090909090908,5.050000000000001
Orange Sironj,2026-07-09,2026-08-28,51,3,0.058823529411764705,6.7700000000000005,8.02,2.474368606331724,8.195,8.299999999999999,8.334999999999999,3.92,8.37,1.0,1.0,1.0,1.0,1.0,1,25.0,25.0,41.0,1.0,6.7700000000000005
SEPC,2026-07-01,2026-07-01,1,1,1.0,18.01,18.01,,18.01,18.01,18.01,18.01,18.01,1.0,1.0,1.0,1.0,1.0,1,,,,1.0,18.01
Thoothukudi IBPGL,2026-04-14,2026-07-30,108,5,0.046296296296296294,0.8180000000000002,0.73,0.3313155595501063,0.86,1.1600000000000001,1.26,0.49,1.36,1.0,1.0,1.0,1.0,1.0,1,21.5,26.75,60.0,1.0,0.8180000000000002
Thoothukudi IBTPL power station,2026-05-05,2026-08-09,97,4,0.041237113402061855,7.3475,7.455,1.7056645821106406,8.6775,8.871,8.9355,5.48,9.0,1.0,1.0,1.0,1.0,1.0,1,26.0,32.0,58.0,1.0,7.3475
UNKNOWN,2026-03-03,2026-08-29,180,84,0.4666666666666667,6.652857142857143,5.73,6.248320559211992,8.495000000000001,12.38,14.538999999999996,0.52,48.72,2.0,1.0,3.0,4.0,5.0,10,1.0,2.1566265060240966,14.0,2.0,10.20190476190476
