event_id,latitude,longitude,event_date,event_start_time,max_frp,observation_count,worldcover_class_code,worldcover_class
EVT_20260629_0070,8.75938,78.18442,2026-06-29,805,5.54,1,,UNKNOWN
EVT_20260629_0071,8.77312,77.9638,2026-06-29,805,1.79,1,,UNKNOWN
EVT_20260629_0072,8.88808,77.98834,2026-06-29,805,1.14,1,,UNKNOWN
EVT_20260629_0073,8.79237,78.02587,2026-06-29,854,1.81,1,,UNKNOWN
EVT_20260629_0074,8.81134,78.079335,2026-06-29,854,6.49,2,,UNKNOWN
EVT_20260629_0075,8.67153,77.99429,2026-06-29,2042,1.25,1,,UNKNOWN
EVT_20260630_0076,8.79416,78.05643,2026-06-30,748,2.9,1,,UNKNOWN
EVT_20260630_0077,8.86758,78.15696,2026-06-30,748,4.29,2,,UNKNOWN
EVT_20260630_0078,8.56587,78.12151,2026-06-30,835,4.09,1,,UNKNOWN
EVT_20260630_0079,8.70381,78.10857,2026-06-30,835,3.42,1,,UNKNOWN
EVT_20260701_0080,8.745172,78.16344,2026-07-01,731,18.01,4,,UNKNOWN
EVT_20260702_0081,8.891607,78.055853,2026-07-02,756,5.48,3,,UNKNOWN
EVT_20260703_0082,8.75918,78.18197,2026-07-03,833,3.61,1,,UNKNOWN
EVT_20260705_0083,8.515798,78.06301,2026-07-05,754,5.87,4,,UNKNOWN
EVT_20260705_0084,8.54408,78.12749,2026-07-05,754,6.02,1,,UNKNOWN
EVT_20260705_0085,8.57296,78.08848,2026-07-05,754,9.24,1,,UNKNOWN
EVT_20260705_0086,8.674925,78.042795,2026-07-05,754,6.54,4,,UNKNOWN
EVT_20260705_0087,8.74794,77.99934,2026-07-05,754,3.94,1,,UNKNOWN
EVT_20260705_0088,8.61112,77.97647,2026-07-05,839,6.33,1,,UNKNOWN
EVT_20260705_0089,8.76077,78.18306,2026-07-05,839,4.84,1,,UNKNOWN
EVT_20260706_0090,8.75857,78.18122,2026-07-06,822,14.96,1,,UNKNOWN
EVT_20260706_0091,8.86743,78.15778,2026-07-06,822,3.88,1,,UNKNOWN
EVT_20260706_0092,8.758747,78.18315,2026-07-06,2012,2.26,4,,UNKNOWN
EVT_20260707_0093,8.69401,78.05341,2026-07-07,803,5.31,1,,UNKNOWN
EVT_20260707_0094,8.75737,78.18203,2026-07-07,803,13.66,2,,UNKNOWN
EVT_20260707_0095,8.86108,78.0523,2026-07-07,803,11.0,1,,UNKNOWN
EVT_20260707_0096,8.75855,78.182793,2026-07-07,1951,5.7,3,,UNKNOWN
EVT_20260708_0097,8.75731,78.1812,2026-07-08,2114,7.96,1,,UNKNOWN
EVT_20260709_0098,8.84491,77.99417,2026-07-09,820,8.02,1,,UNKNOWN
EVT_20260709_0099,8.85846,77.94576,2026-07-09,820,9.78,1,,UNKNOWN
EVT_20260710_0100,8.85192,78.13534,2026-07-10,1942,1.07,1,,UNKNOWN
EVT_20260711_0101,8.69392,78.05166,2026-07-11,741,3.97,1,,UNKNOWN
EVT_20260711_0102,8.67076,77.99223,2026-07-11,2017,0.59,1,,UNKNOWN
EVT_20260711_0103,8.86807,78.12141,2026-07-11,2017,0.73,1,,UNKNOWN
EVT_20260712_0104,8.89624,78.07236,2026-07-12,724,3.08,1,,UNKNOWN
EVT_20260712_0105,8.66283,78.03506,2026-07-12,809,13.62,1,,UNKNOWN
EVT_20260712_0106,8.68076,78.06427,2026-07-12,809,7.59,1,,UNKNOWN
EVT_20260712_0107,8.74524,78.12827,2026-07-12,809,2.13,1,,UNKNOWN
EVT_20260713_0108,8.84894,78.13416,2026-07-13,2025,1.45,1,,UNKNOWN
EVT_20260714_0109,8.70241,78.05972,2026-07-14,2008,1.21,1,,UNKNOWN
EVT_20260716_0110,8.84957,78.13499,2026-07-16,2023,1.0,1,,UNKNOWN
EVT_20260717_0111,8.60856,78.09164,2026-07-17,816,3.86,1,,UNKNOWN
EVT_20260718_0112,8.75063,78.10085,2026-07-18,756,7.32,1,,UNKNOWN
EVT_20260718_0113,8.851477,78.019773,2026-07-18,756,8.37,3,,UNKNOWN
EVT_20260719_0114,8.742296,77.95846,2026-07-19,737,12.1,7,,UNKNOWN
EVT_20260720_0115,8.84538,78.06369,2026-07-20,813,2.03,1,,UNKNOWN
EVT_20260721_0116,8.66998,77.99445,2026-07-21,2032,0.76,1,,UNKNOWN
EVT_20260722_0117,8.61174,78.1255,2026-07-22,2012,1.71,1,,UNKNOWN
EVT_20260722_0118,8.84976,78.1354,2026-07-22,2012,1.27,1,,UNKNOWN
EVT_20260723_0119,8.75921,78.18096,2026-07-23,803,7.48,1,,UNKNOWN
EVT_20260723_0120,8.61686,77.959485,2026-07-23,858,5.57,2,,UNKNOWN
EVT_20260723_0121,8.597505,78.13128,2026-07-23,1953,3.6,2,,UNKNOWN
EVT_20260723_0122,8.75794,78.18364,2026-07-23,1953,2.64,1,,UNKNOWN
EVT_20260724_0123,8.57624,78.11585,2026-07-24,744,3.46,1,,UNKNOWN
EVT_20260724_0124,8.610845,78.0196,2026-07-24,744,5.98,2,,UNKNOWN
