facility_name,acq_date,observation_count,max_frp_mw,mean_frp_mw,total_frp_mw,source_class,classification_confidence,evidence_strength,worldcover_context,worldcover_class,association_type,association_confidence,osm_feature_name,osm_industrial,osm_landuse,behavior_state,behavior_score,frp_score,detection_score,frequency_score,previous_active_days,persistence_state,active_days,activity_frequency,median_gap_days,max_gap_days,max_consecutive_active_days,investigation_priority,evidence_summary,reason,decision_interpretation
DCW,2026-07-26,1,4.14,4.14,4.14,FOREST_NATURAL,MEDIUM,MEDIUM,NATURAL,HERBACEOUS_WETLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,DCW,chemical,industrial,NORMAL,1.67,0.0,0.0,8.33,8,RECURRING,11,0.131,5.0,30.0,3,LOW,No strong mapped industrial association; WorldCover=HERBACEOUS_WETLAND,thermal behaviour is within the site's previous historical range,DCW: thermal behaviour is currently within the available historical context.
DCW,2026-07-29,1,3.35,3.35,3.35,AGRICULTURAL,MEDIUM,MEDIUM,AGRICULTURAL,CROPLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,DCW,chemical,industrial,NORMAL,2.49,0.0,0.0,12.47,9,RECURRING,11,0.131,5.0,30.0,3,LOW,No strong mapped industrial association; WorldCover=CROPLAND,thermal behaviour is within the site's previous historical range,DCW: thermal behaviour is currently within the available historical context.
DCW,2026-08-28,1,5.17,5.17,5.17,AGRICULTURAL,MEDIUM,MEDIUM,AGRICULTURAL,CROPLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,DCW,chemical,industrial,NORMAL,0.0,0.0,0.0,0.0,10,RECURRING,11,0.131,5.0,30.0,3,LOW,No strong mapped industrial association; WorldCover=CROPLAND,thermal behaviour is within the site's previous historical range,DCW: thermal behaviour is currently within the available historical context.
Orange Sironj,2026-07-09,1,8.02,8.02,8.02,UNKNOWN,LOW,MEDIUM,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,Orange Sironj,,industrial,INSUFFICIENT_HISTORY,,,,,0,INTERMITTENT,3,0.0588,25.0,41.0,1,LOW,Insufficient evidence,thermal behaviour is within the site's previous historical range,Orange Sironj: insufficient historical observations for reliable behavioural assessment.
Orange Sironj,2026-07-18,1,8.37,8.37,8.37,FOREST_NATURAL,MEDIUM,MEDIUM,NATURAL,GRASSLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,Orange Sironj,,industrial,INSUFFICIENT_HISTORY,,,,,1,INTERMITTENT,3,0.0588,25.0,41.0,1,LOW,No strong mapped industrial association; WorldCover=GRASSLAND,thermal behaviour is within the site's previous historical range,Orange Sironj: insufficient historical observations for reliable behavioural assessment.
Orange Sironj,2026-08-28,1,3.92,3.92,3.92,UNKNOWN,LOW,MEDIUM,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,Orange Sironj,,industrial,INSUFFICIENT_HISTORY,,,,,2,INTERMITTENT,3,0.0588,25.0,41.0,1,LOW,Insufficient evidence,thermal behaviour is within the site's previous historical range,Orange Sironj: insufficient historical observations for reliable behavioural assessment.
SEPC,2026-07-01,1,18.01,18.01,18.01,FOREST_NATURAL,MEDIUM,MEDIUM,NATURAL,GRASSLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,SEPC,,industrial,INSUFFICIENT_HISTORY,,,,,0,TRANSIENT,1,1.0,,,1,LOW,No strong mapped industrial association; WorldCover=GRASSLAND,thermal behaviour is within the site's previous historical range,SEPC: insufficient historical observations for reliable behavioural assessment.
Thoothukudi IBPGL,2026-04-14,1,0.86,0.86,0.86,FOREST_NATURAL,MEDIUM,MEDIUM,NATURAL,SHRUBLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,Thoothukudi IBPGL,,,INSUFFICIENT_HISTORY,,,,,0,INTERMITTENT,5,0.0463,21.5,60.0,1,LOW,No strong mapped industrial association; WorldCover=SHRUBLAND,thermal behaviour is within the site's previous historical range,Thoothukudi IBPGL: insufficient historical observations for reliable behavioural assessment.
Thoothukudi IBPGL,2026-06-13,1,0.65,0.65,0.65,FOREST_NATURAL,MEDIUM,MEDIUM,NATURAL,SHRUBLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,Thoothukudi IBPGL,,,INSUFFICIENT_HISTORY,,,,,1,INTERMITTENT,5,0.0463,21.5,60.0,1,LOW,No strong mapped industrial association; WorldCover=SHRUBLAND,thermal behaviour is within the site's previous historical range,Thoothukudi IBPGL: insufficient historical observations for reliable behavioural assessment.
Thoothukudi IBPGL,2026-07-11,1,0.73,0.73,0.73,FOREST_NATURAL,MEDIUM,MEDIUM,NATURAL,TREE_COVER,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,Thoothukudi IBPGL,,,INSUFFICIENT_HISTORY,,,,,2,INTERMITTENT,5,0.0463,21.5,60.0,1,LOW,No strong mapped industrial association; WorldCover=TREE_COVER,thermal behaviour is within the site's previous historical range,Thoothukudi IBPGL: insufficient historical observations for reliable behavioural assessment.
