event_id,region_id,event_date,event_start_time,event_end_time,latitude,longitude,max_frp,mean_frp,total_frp,observation_count,satellite_count,satellites,event_cluster_confidence,event_cluster_method
EVT_20260327_0042,jamnagar,2026-03-27,2049,2049,22.3405,69.85612,3.15,3.15,3.15,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260327_0043,jamnagar,2026-03-27,2049,2049,22.43019,69.83276,1.41,1.41,1.41,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260328_0044,jamnagar,2026-03-28,0803,0803,22.29349,69.98151,3.08,3.08,3.08,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260328_0045,jamnagar,2026-03-28,0803,0803,22.4136,69.89274,13.36,13.36,13.36,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260328_0046,jamnagar,2026-03-28,2029,2029,22.33166,69.86633,2.96,2.96,2.96,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260330_0047,jamnagar,2026-03-30,2131,2131,22.33843,69.85404,3.81,3.81,3.81,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260331_0048,jamnagar,2026-03-31,0845,0845,22.25853,69.89301,18.98,18.98,18.98,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260331_0049,jamnagar,2026-03-31,2114,2114,22.33841,69.85287,2.98,2.98,2.98,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260405_0050,jamnagar,2026-04-05,0852,0852,22.33744,69.71162,7.06,7.06,7.06,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260406_0051,jamnagar,2026-04-06,2101,2101,22.33615,69.86816,1.62,1.62,1.62,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260406_0052,jamnagar,2026-04-06,2101,2101,22.33846,69.85339,2.21,2.21,2.21,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260408_0053,jamnagar,2026-04-08,0756,0756,22.39186,69.87063,1.67,1.67,1.67,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260408_0054,jamnagar,2026-04-08,2023,2023,22.31271,69.71579,1.01,0.74,1.47,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260409_0055,jamnagar,2026-04-09,2146,2146,22.33046,69.739225,1.58,1.38,2.76,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260410_0056,jamnagar,2026-04-10,0858,0858,22.39724,69.82426,4.68,4.68,4.68,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260410_0057,jamnagar,2026-04-10,2125,2125,22.331725,69.73709,1.97,1.58,3.17,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260410_0058,jamnagar,2026-04-10,2125,2125,22.43124,69.83454,1.1,1.1,1.1,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260411_0059,jamnagar,2026-04-11,2108,2108,22.33292,69.7366,1.72,1.72,1.72,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260412_0060,jamnagar,2026-04-12,2046,2046,22.33247,69.73551,1.92,1.92,1.92,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260414_0061,jamnagar,2026-04-14,2153,2153,22.33009,69.73493,1.82,1.82,1.82,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260418_0062,jamnagar,2026-04-18,0807,0807,22.45119,69.98673,13.65,13.65,13.65,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260419_0063,jamnagar,2026-04-19,0750,0750,22.20879,69.74622,9.06,9.06,9.06,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260422_0064,jamnagar,2026-04-22,2101,2101,22.33941,69.85428,3.21,3.21,3.21,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260501_0065,jamnagar,2026-05-01,0905,0905,22.41263,69.93995,6.97,6.97,6.97,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260501_0066,jamnagar,2026-05-01,2131,2131,22.41554,69.92569,1.09,1.09,1.09,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260502_0067,jamnagar,2026-05-02,0845,0845,22.25767,69.79171,16.38,16.38,16.38,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260503_0068,jamnagar,2026-05-03,0826,0826,22.35215,69.8322,8.14,8.14,8.14,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260505_0069,jamnagar,2026-05-05,2019,2019,22.32329,69.87823,4.16,4.08,8.16,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260506_0070,jamnagar,2026-05-06,0909,0909,22.2946,69.934085,6.21,5.64,11.29,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260506_0071,jamnagar,2026-05-06,2138,2138,22.33965,69.86987,2.09,2.09,2.09,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260511_0072,jamnagar,2026-05-11,2144,2144,22.32724,69.73833,1.26,1.26,1.26,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260512_0073,jamnagar,2026-05-12,2125,2125,22.32963,69.73843,9.71,9.71,9.71,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260513_0074,jamnagar,2026-05-13,0837,0837,22.33224,69.73727,9.88,9.88,9.88,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260513_0075,jamnagar,2026-05-13,2108,2108,22.331325,69.735005,1.18,0.91,1.82,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260514_0076,jamnagar,2026-05-14,2046,2046,22.3218,69.88053,3.59,3.45,6.9,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260514_0077,jamnagar,2026-05-14,2046,2046,22.33146,69.734295,3.17,2.61,5.22,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260515_0078,jamnagar,2026-05-15,2029,2029,22.33148,69.73385,8.27,8.27,8.27,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260516_0079,jamnagar,2026-05-16,0741,0922,22.330675,69.735048,10.05,9.36,37.46,4,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260516_0080,jamnagar,2026-05-16,2153,2153,22.332375,69.738385,6.64,5.82,11.65,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260520_0081,jamnagar,2026-05-20,2036,2036,22.33221,69.73236,5.27,4.97,9.95,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260521_0082,jamnagar,2026-05-21,0748,0748,22.33461,69.73081,3.31,3.31,3.31,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260521_0083,jamnagar,2026-05-21,2017,2017,22.3301,69.73223,1.48,1.48,1.48,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260522_0084,jamnagar,2026-05-22,2138,2138,22.310075,69.720255,1.01,0.89,1.78,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260522_0085,jamnagar,2026-05-22,2138,2138,22.33207,69.73598,6.76,6.76,6.76,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260523_0086,jamnagar,2026-05-23,0852,0852,22.33337,69.73755,16.01,16.01,16.01,1,1,N21,LOW,spatial_temporal_bfs
