observation_index,latitude,longitude,acq_date,acq_time,satellite,instrument,confidence,bright_ti4,bright_ti5,frp,association_type,association_confidence,osm_type,osm_id,name,industrial,landuse,power,man_made,distance_km
160,22.32294,69.88258,2026-06-27,2116,N20,VIIRS,n,314.14,296.77,3.05,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
161,22.3391,69.85394,2026-06-27,2116,N20,VIIRS,n,310.73,298.53,3.08,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
162,22.33986,69.85631,2026-06-28,2057,N20,VIIRS,n,306.31,284.38,1.18,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
163,22.33484,69.86742,2026-06-29,2125,N21,VIIRS,n,304.54,288.38,3.72,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
164,22.33735,69.85474,2026-06-29,2125,N21,VIIRS,n,307.9,292.31,4.19,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
165,22.33558,69.86704,2026-06-30,2108,N21,VIIRS,n,309.61,292.14,3.66,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
166,22.33749,69.85552,2026-06-30,2108,N21,VIIRS,n,308.3,291.99,4.4,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
167,22.33493,69.86871,2026-07-08,2110,N20,VIIRS,n,309.97,296.72,3.26,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
168,22.3349,69.86817,2026-07-16,2201,N20,VIIRS,n,295.4,284.21,4.27,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
169,22.33016,69.86285,2026-07-18,2029,N21,VIIRS,n,300.98,289.89,5.78,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
170,22.34027,69.85518,2026-08-04,2106,N20,VIIRS,n,308.21,286.94,1.84,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
171,22.33785,69.86696,2026-08-09,2112,N20,VIIRS,n,301.74,281.9,1.23,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
172,22.33982,69.85525,2026-08-09,2112,N20,VIIRS,n,302.09,278.97,1.06,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
173,22.33806,69.85318,2026-08-14,2023,N21,VIIRS,n,301.63,287.78,2.08,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
174,22.33921,69.8703,2026-08-24,2036,N21,VIIRS,n,309.15,293.54,2.69,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
175,22.33969,69.86611,2026-08-24,2036,N21,VIIRS,n,315.85,294.07,2.69,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
176,22.34017,69.86192,2026-08-24,2036,N21,VIIRS,n,307.83,293.93,3.82,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
177,22.34343,69.87085,2026-08-24,2036,N21,VIIRS,n,313.73,293.41,7.01,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
178,22.34392,69.86665,2026-08-24,2036,N21,VIIRS,n,339.9,293.84,7.01,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
179,22.3444,69.86245,2026-08-24,2036,N21,VIIRS,n,308.11,293.06,2.37,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
180,22.34236,69.87119,2026-08-24,2131,N20,VIIRS,n,331.0,292.96,5.31,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
181,22.33997,69.85574,2026-08-25,2112,N20,VIIRS,n,308.37,292.92,3.06,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
182,22.3412,69.85442,2026-08-25,2112,N20,VIIRS,n,306.8,291.97,2.19,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
183,22.32085,69.8827,2026-08-26,2053,N20,VIIRS,n,311.16,286.86,1.41,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
184,22.32132,69.88142,2026-08-26,2053,N20,VIIRS,n,317.54,287.39,1.49,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
