observation_index,latitude,longitude,acq_date,acq_time,satellite,confidence,frp,facility_id,facility_name,facility_type,facility_source,distance_km,association_type,association_confidence
0,22.33454,69.86774,2026-09-02,2108,N21,n,3.38,JAM_RIL_REF,Reliance Refinery,petroleum_refinery,OSM,0.277,KNOWN_FACILITY_NEARBY,SCREENING
1,22.33987,69.85667,2026-09-02,2108,N21,n,2.26,JAM_RIL_CHEM,Reliance Jamnagar Chemical Plant,chemical_plant,Global Energy Monitor,0.965,KNOWN_FACILITY_NEARBY,SCREENING
