osm_type,osm_id,name,industrial,landuse,power,man_made,operator,centroid_lat,centroid_lon,geometry_wkt
way,114488438,,,,,storage_tank,,8.756450892307694,78.18922212307692,POINT(78.18922212307692 8.756450892307694)
way,114488440,,,,,storage_tank,,8.756394461538461,78.18751803846155,POINT(78.18751803846155 8.756394461538461)
way,114488441,,,,,storage_tank,,8.756863769230769,78.18752915384616,POINT(78.18752915384616 8.756863769230769)
way,114488443,,,,,storage_tank,,8.755907492307692,78.19015113846154,POINT(78.19015113846154 8.755907492307692)
way,114488444,,,,,storage_tank,,8.7575979,78.18784293846154,POINT(78.18784293846154 8.7575979)
way,114488445,,,,,storage_tank,,8.756619500000001,78.1879678923077,POINT(78.1879678923077 8.756619500000001)
way,114488446,,,,,storage_tank,,8.756030992307693,78.18953035384615,POINT(78.18953035384615 8.756030992307693)
way,114488447,,,,,storage_tank,,8.7560996,78.18916379999999,POINT(78.18916379999999 8.7560996)
way,114488448,,,,,storage_tank,,8.7561063,78.18792345384615,POINT(78.18792345384615 8.7561063)
way,114488449,,,,,storage_tank,,8.755863592307692,78.1904398923077,POINT(78.1904398923077 8.755863592307692)
way,114488450,,,,,storage_tank,,8.7572288,78.18769020769231,POINT(78.18769020769231 8.7572288)
way,114488451,,,,,storage_tank,,8.755973384615384,78.18985123846154,POINT(78.18985123846154 8.755973384615384)
way,385432377,,,industrial,plant,,,8.817415617857142,78.09120400357142,POINT(78.09120400357142 8.817415617857142)
way,385432381,Thoothukudi IBPGL,,,plant,,,8.865685500000001,78.10809494,POINT(78.10809494 8.865685500000001)
way,385432388,Thoothukudi IBTPL power station,,industrial,plant,,,8.885599657142857,78.05457392857144,POINT(78.05457392857144 8.885599657142857)
way,398674681,,,industrial,,,,8.697998685714285,78.12891737619047,POINT(78.12891737619047 8.697998685714285)
way,548907979,DCW,chemical,industrial,,,,8.594491345945945,78.09483057567567,POINT(78.09483057567567 8.594491345945945)
way,577750403,,port,industrial,,,,8.749493615384615,78.21125003076924,POINT(78.21125003076924 8.749493615384615)
way,592629497,,,,,storage_tank,,8.761859136,78.1787971,POINT(78.1787971 8.761859136)
way,592629498,,,,,storage_tank,,8.762260756,78.178866836,POINT(78.178866836 8.762260756)
way,592629507,,,,,storage_tank,,8.759660516,78.172276164,POINT(78.172276164 8.759660516)
way,592629508,,,,,storage_tank,,8.759698968,78.172060252,POINT(78.172060252 8.759698968)
way,592629549,,,,,storage_tank,,8.756964011764707,78.19118912352941,POINT(78.19118912352941 8.756964011764707)
way,592629550,,,,,storage_tank,,8.75676385882353,78.1911623,POINT(78.1911623 8.75676385882353)
