observation_index,latitude,longitude,acq_date,acq_time,satellite,confidence,frp,association_type,association_confidence,osm_type,osm_id,name,landuse,industrial,power,man_made,distance_km
0,22.33454,69.86774,2026-09-02,2108,N21,n,3.38,OSM_FEATURE_INTERSECTION,HIGH,way,91585872,Reliance Refinery,industrial,refinery,,,0.0
1,22.33987,69.85667,2026-09-02,2108,N21,n,2.26,OSM_FEATURE_INTERSECTION,HIGH,way,91585872,Reliance Refinery,industrial,refinery,,,0.0
